# freeze_timestamp: 2026-08-04T09:29:33+03:00
# owner_confirmation: CONFIRMED by Mucahit Kaya, 2026-08-05T10:07:01+03:00 (recorded from owner approval in session; sampling-rules section 3 step 6)
product_id,product_name,vendor_home_url,category,product_status,paid_submission,review_url,review_published_date,in_double_coded_set,frame_note
10web,10Web,https://10web.io,AI website builder,active,no,https://aitoolspolice.com/reviews/10web/,2026-06-23,yes,
adobe-express,Adobe Express,https://www.adobe.com/express,AI design,active,no,https://aitoolspolice.com/reviews/adobe-express/,2026-07-08,yes,
adobe-firefly,Adobe Firefly,https://www.adobe.com/products/firefly.html,AI image generator,active,no,https://aitoolspolice.com/reviews/adobe-firefly/,2026-06-10,yes,
aiclicks,AIclicks,https://aiclicks.io,AI bot checker,active,no,https://aitoolspolice.com/reviews/aiclicks/,2026-06-13,yes,
aiva,AIVA,https://www.aiva.ai,AI music generator,active,no,https://aitoolspolice.com/reviews/aiva/,2026-06-13,yes,
anomaly-ai,Anomaly AI,https://www.findanomaly.ai,AI data analysis,active,no,https://aitoolspolice.com/reviews/anomaly-ai/,2026-07-08,yes,
apify-robots-checker,Apify Robots.txt AI Checker,https://apify.com,AI bot checker,active,no,https://aitoolspolice.com/reviews/apify-robots-checker/,2026-06-13,no,
aragon-ai,Aragon AI,https://www.aragon.ai,AI headshot,active,no,https://aitoolspolice.com/reviews/aragon-ai/,2026-07-24,yes,
autoshorts-ai,AutoShorts.ai,https://autoshorts.ai,Faceless video,active,no,https://aitoolspolice.com/reviews/autoshorts-ai/,2026-06-06,yes,
beautiful-ai,Beautiful.ai,https://www.beautiful.ai,AI presentation,active,no,https://aitoolspolice.com/reviews/beautiful-ai/,2026-07-17,yes,
brandcited,BrandCited,https://www.brandcited.ai,AI bot checker,active,no,https://aitoolspolice.com/reviews/brandcited/,2026-06-13,no,
canva,Canva,https://www.canva.com,AI design,active,no,https://aitoolspolice.com/reviews/canva/,2026-07-08,no,
colossyan,Colossyan,https://www.colossyan.com,AI avatar,active,no,https://aitoolspolice.com/reviews/colossyan/,2026-06-06,yes,"vendor_home_url repaired 2026-08-07 (freeze script had captured a schema.org type URI instead of the official domain; corrected to the vendor's official site, per deviations log D-002)"
copyleaks,Copyleaks,https://copyleaks.com,AI detector,active,no,https://aitoolspolice.com/reviews/copyleaks/,2026-06-07,yes,
d-id,D-ID,https://www.d-id.com,AI avatar,active,no,https://aitoolspolice.com/reviews/d-id/,2026-07-22,no,
decktopus,Decktopus,https://www.decktopus.com,AI presentation,active,no,https://aitoolspolice.com/reviews/decktopus/,2026-07-24,no,
elevenlabs,ElevenLabs,https://elevenlabs.io,AI voice,active,no,https://aitoolspolice.com/reviews/elevenlabs/,2026-06-04,yes,
faceless-so,Faceless.so,https://faceless.so,Faceless video,active,no,https://aitoolspolice.com/reviews/faceless-so/,2026-06-04,no,
fotor,Fotor,https://www.fotor.com,AI image generator,active,no,https://aitoolspolice.com/reviews/fotor/,2026-06-20,no,"vendor_home_url repaired 2026-08-07 (freeze script had captured a schema.org type URI instead of the official domain; corrected to the vendor's official site, per deviations log D-002)"
framer,Framer,https://www.framer.com,AI website builder,active,no,https://aitoolspolice.com/reviews/framer/,2026-07-07,no,
freepik,Freepik,https://www.freepik.com,AI image generator,active,no,https://aitoolspolice.com/reviews/freepik/,2026-06-20,no,"vendor_home_url repaired 2026-08-07 (freeze script had captured a schema.org type URI instead of the official domain; corrected to the vendor's official site, per deviations log D-002)"
gamma,Gamma,https://gamma.app,AI presentation,active,no,https://aitoolspolice.com/reviews/gamma/,2026-07-17,no,
godaddy,GoDaddy Airo,https://www.godaddy.com,AI website builder,active,no,https://aitoolspolice.com/reviews/godaddy/,2026-06-23,no,
google-veo,Google Veo,https://deepmind.google/models/veo,AI video generator,active,no,https://aitoolspolice.com/reviews/google-veo/,2026-06-11,yes,
gptzero,GPTZero,https://gptzero.me,AI detector,active,no,https://aitoolspolice.com/reviews/gptzero/,2026-06-07,no,
hailuo-ai,Hailuo AI,https://hailuoai.video,AI video generator,active,no,https://aitoolspolice.com/reviews/hailuo-ai/,2026-06-11,no,
heygen,HeyGen,https://www.heygen.com,AI avatar,active,no,https://aitoolspolice.com/reviews/heygen/,2026-06-06,no,
hostinger,Hostinger Horizons,https://www.hostinger.com,AI website builder,active,no,https://aitoolspolice.com/reviews/hostinger/,2026-06-23,no,
humanizemy-ai-detector,HumanizeMyAI Detector,https://humanizemy.ai/detect,AI detector,active,no,https://aitoolspolice.com/reviews/humanizemy-ai-detector/,2026-06-08,no,
humanizemy,HumanizeMyAI,https://humanizemy.ai,AI humanizer,active,no,https://aitoolspolice.com/reviews/humanizemy/,2026-06-07,yes,
humbot,Humbot,https://humbot.ai,AI humanizer,active,no,https://aitoolspolice.com/reviews/humbot/,2026-06-07,no,
hyperleap,Hyperleap AI,https://hyperleap.ai,AI bot checker,active,no,https://aitoolspolice.com/reviews/hyperleap/,2026-06-13,no,
ideogram,Ideogram AI,https://ideogram.ai,AI image generator,active,no,https://aitoolspolice.com/reviews/ideogram/,2026-06-10,no,
invideo-ai,InVideo AI,https://invideo.io,Faceless video,active,no,https://aitoolspolice.com/reviews/invideo-ai/,2026-06-03,no,
ismybrandinai,Is My Brand In AI,https://ismybrandinai.com,AI bot checker,active,no,https://aitoolspolice.com/reviews/ismybrandinai/,2026-06-13,yes,
