pass,product,variable,current_kind,verdict,corrected_kind,basis
adjudicated,10web,commercial_use_lowest_tier,vendor_silence,CONFIRMED,,"'commercial' absent from ToS, PUP, pricing page and the whole 836-article help centre; the only clause found is ownership-only, a construct the codebook keeps separate"
adjudicated,10web,credit_rollover_policy,vendor_silence,CONFIRMED,,documents read and searched for rollover/expire/unused language; end-of-period treatment of unused credits never stated
adjudicated,10web,failed_generation_charge_policy,vendor_silence,CONFIRMED,,"named documents read in full; the metered unit and adjacent cases are documented, the technical-failure case never addressed"
adjudicated,10web,free_plan_watermark,vendor_silence,CONFIRMED,,"'watermark' absent from every named document (or unstated for the free tier only); output type could carry a mark, so not_applicable ruled out"
adjudicated,10web,watermark_removal_tier,vendor_silence,CONFIRMED,,no document states any tier's watermark/branding status; adjacent non-removal or capability clauses correctly distinguished
adjudicated,adobe-express,failed_generation_charge_policy,vendor_silence,CONFIRMED,,"named documents read in full; the metered unit and adjacent cases are documented, the technical-failure case never addressed"
adjudicated,adobe-express,trial_card_required,vendor_silence,CONFIRMED,,conversion-implies-a-stored-card reasoning correctly rejected per the codebook's own worked example; no card statement either way
adjudicated,adobe-express,watermark_removal_tier,vendor_silence,CONFIRMED,,no document states any tier's watermark/branding status; adjacent non-removal or capability clauses correctly distinguished
adjudicated,adobe-firefly,failed_generation_charge_policy,vendor_silence,CONFIRMED,,"named documents read in full; the metered unit and adjacent cases are documented, the technical-failure case never addressed"
adjudicated,adobe-firefly,free_plan_cap_value,vendor_silence,WRONG,instrument_gap,"AUDIT. Evidence: free_plan_cap_documented=none_quantified, vendor publishes 'free daily generations... refresh every day' / help-table 'Limited' but never a number, and the field's Format rule allows only a formatted figure or unknown - documented-but-unquantified allowance, no slot. The study's own overrides file cites THIS record as an instrument-gap precedent ('the same instrument gap this study's adobe-firefly and anomaly-ai adjudicated records name explicitly and resolve the same way')."
