pass,product,variable,kind,decided_by,basis,evidence
pass1,10web,free_plan_watermark,vendor_silence,pattern,silence signal: \bdoes not appear\b,"'watermark' does not appear anywhere in the ToS, PUP, pricing page, AI Starter Plan doc, or Get Started for Free doc in the sense of vendor branding on outputs (full-text search across all sources). The only 'watermark' hits anywhere in the 836-article help-center corpus concern a Photo Gallery image-watermarking FEATURE for the site owner's own photos - an unrelated construct. Principal output is a full website, a media artifact that plainly could carry a footer badge/branding, so not_applicable does not fit; documented silence codes unknown."
pass1,10web,credit_rollover_policy,vendor_silence,pattern,silence signal: \bno document\b,"No document (pricing page, ToS, AI Starter Plan doc, AI Editor doc, PUP) states whether unused AI Credits roll over to the next billing period, are capped-carry-forward, or expire at period end. Full-text search for 'roll over'/'rollover'/'carry over'/'expire' near 'credit' across the entire 836-article help-center corpus found no such statement (the 'expire' hits found are all about domains, trials, backups, or website hosting - none about AI Credits specifically). Silence."
pass1,10web,failed_generation_charge_policy,vendor_silence,pattern,silence signal: \b(?:is|are|remain)s? silent\b,"No document states what happens to a consumed AI credit if the AI request/generation fails, errors, or produces nothing usable. The AI Editor doc states only that 'Each AI request costs 1 credit' (covers submission/request, not outcome). Full-text search for 'fail'/'error' near 'credit' across the corpus found no statement addressing this. Silence - matches the codebook's expectation that this variable is silent often."
pass1,10web,watermark_removal_tier,vendor_silence,pattern,silence signal: \bno document\b,"Same search/finding as free_plan_watermark: no document anywhere states that any tier's generated websites carry, or are free of, 10Web branding/watermarking. Principal output (a full website) plainly could carry such branding (e.g. a footer badge), so not_applicable does not fit; documented silence codes unknown."
pass1,adobe-express,free_plan_watermark,vendor_silence,pattern,"silence signal: \bno\b.{0,50}\b(?:located|found)\b","No 'watermark' row or statement found in the pricing-page feature comparison table (no watermark line item for either tier), the General Terms of Use, the Subscription and Cancellation Terms, the generative-credits FAQ, or the Adobe Express Free plan help page. The dedicated ""Watermarks for Generative AI content FAQ"" help page (helpx.adobe.com/creative-cloud/apps/generative-ai/ai-content-watermarks-faq.html) was opened but its rendered content is about optional user-applied Content Credentials labeling, not Adobe's own free-tier output watermarking, and did not state a position either way. "
pass1,adobe-express,trial_card_required,vendor_silence,hand,"HAND. The pricing page and the Subscription and Cancellation Terms' 'Month to month' clause governing this exact plan were both read; neither states a card requirement, matching the codebook's own trial_card_required worked example. The one unread document (a Generative AI Product Specific Terms PDF, not opened per the study's no-download rule) is a content/IP addendum, not a subscription-mechanics document, so it is not a plausible source for this construct.","Neither the pricing page nor the Subscription and Cancellation Terms states whether a payment card is required to START the 7-day trial. The pricing-page footnote states 'billing begins when free trial ends. Cancel before free trial ends and you won't be charged. Subscription automatically renews until you cancel' — this implies a payment method is on file for the auto-charge at trial end, but implication is not a statement (matches the codebook's own worked example for this variable). No 'no credit card required' statement is attached to the trial CTA (that phrase appears only on the separate"
pass1,adobe-express,failed_generation_charge_policy,vendor_silence,pattern,silence signal: \bnot addressed\b,"Not addressed in the Subscription and Cancellation Terms, the General Terms of Use, or the Generative Credits FAQ. The FAQ states credits are ""consumed when using features powered by Firefly or our partner models upon generation"" but does not address failed/errored/empty-result generations specifically. Confirmed via full in-page text search: no occurrence of 'fail' anywhere on the Generative Credits FAQ page (39,014 characters). "
pass1,adobe-express,watermark_removal_tier,vendor_silence,pattern,silence signal: \bno document\b,"No document reviewed (pricing page feature grid, General Terms of Use, Subscription and Cancellation Terms, Generative Credits FAQ, Express Free-plan help page, Watermarks FAQ) states which tier(s) carry vendor watermarks or branding on outputs, or that none do. Same search as free_plan_watermark; see that variable's evidence."
pass1,adobe-firefly,free_plan_cap_value,vendor_silence,hand,"HAND. The two sources read for free_plan_cap_documented describe the free tier only qualitatively ('a limited number of free daily generations'); no document publishes a number, so there is nothing quantified to transcribe. Both sources were reachable and read, not blocked.","No quantified limit exists to record verbatim; both sources read for free_plan_cap_documented describe the free tier qualitatively (""a limited number of free daily generations"") with no number, so there is nothing quantified to transcribe. "
pass1,adobe-firefly,free_plan_watermark,vendor_silence,hand,"HAND. The Firefly plans page's paid-tier feature-comparison table was read row by row (credits, image/video/audio features, model access, Boards, app access, Express/Photoshop/Fonts perks) with no row on watermarking or output branding for any tier. Matches this study's own runway precedent (a feature grid read in full and left silent on watermarking is vendor silence); the page's FAQ accordion that failed to expand is a disclosed limitation, but its visible question titles name nothing watermark-related.","The plans page's paid-tier feature-comparison table (Creative AI / Adobe apps and perks rows: generative credits, unlimited standard image features, premium-feature access, AI-model access, video generation, audio translation, sound-effect generation, Firefly Boards, Firefly web/mobile, Adobe Express Premium, Photoshop web/mobile, Adobe Fonts) contains no row addressing watermarking or branding of outputs for any tier. Silent. "
