product_id,row_provenance,product_name,category,product_status,paid_submission,entry_tier_name,collection_date,coder_role,coder_pass,archive_status,primary_source_url,archive_status_verified,resolving_captures,local_source_files,headline_price_usd,headline_billing_basis,first_charge_amount_usd,mandatory_addon_present,annual_condition_disclosure,annual_default_toggle,free_plan_exists,free_plan_cap_documented,free_plan_cap_value,free_plan_watermark,free_plan_duration,trial_exists,trial_card_required,trial_length_days,trial_auto_converts,credit_system_present,credit_unit_defined,credit_to_output_rate_published,credit_rate_location,cost_per_output_unit,cost_per_output_computable,computation_assumptions,credit_rollover_policy,failed_generation_charge_policy,auto_renewal_default,auto_renewal_disclosure_location,renewal_notice_commitment,refund_policy_exists,refund_window_days,refund_conditions,cancellation_self_serve,refund_policy_location,commercial_use_lowest_tier,watermark_removal_tier,output_ownership_statement,usage_cap_quantified,unquantified_limit_clause
10web,adjudicated,10Web,AI website builder,active,no,AI Starter,2026-08-16,adjudicated,3,archived,https://10web.io/pricing-platform/,archived,7,44,10.00,per_month_billed_annually,120.00,no,adjacent,annual_preselected,yes,all_quantified,conflicting,unknown,perpetual,yes,yes,7,conflicting,yes,yes,partial,docs_help_center,other,yes,"AI Starter (entry tier), default display state (Business tab / Annually toggle): $10.00/mo includes 1 website, both already on a monthly basis so no period conversion is needed. 10.00 / 1 = 10.00 per website per month, matching the vendor's own card text '$10 per website'. First charge $120.00/yr is the vendor's own stated annual total ('Get 12 months for $120'), not a coder multiplication (it happens to equal 10 x 12). AI Credits (100/mo) are a separate, secondary in-product resource, not the unit this computation uses.",unknown,unknown,on,multiple,no_notice_stated,no_refunds_stated,0,not_applicable,self_serve_documented,multiple,unknown,unknown,user_owns,all_caps_quantified,absent
adobe-express,adjudicated,Adobe Express,AI design,active,no,Acrobat Express,2026-08-16,adjudicated,3,local_copy_only,https://www.adobe.com/express/pricing,archived,7,9,10.99,per_month_billed_monthly,10.99,no,not_applicable,no_toggle,yes,some_quantified,5GB storage | 10 days version history | 1 account per social network | 5 lifetime generate-presentation uses | 2 lifetime 5-second-video generations | 10 PDF Quick Actions per month,unknown,perpetual,yes,unknown,7,yes,yes,yes,yes,docs_help_center,per_seat_month,yes,"Acrobat Express (entry tier), US/USD default-selector state: $10.99/mo billed monthly, 1 seat. Principal-output unit = per_seat_month (unmetered suite access, not a single countable artifact). Price and allowance already share the monthly period, so no conversion is needed under rule 3: cost per seat-month = 10.99 / 1 seat / 1 month = 10.99.",expires_at_period_end,unknown,on,multiple,no_notice_stated,yes,14,unconditional,self_serve_documented,dedicated_refund_page,free,unknown,user_owns,all_caps_quantified,present
adobe-firefly,adjudicated,Adobe Firefly,AI image generator,active,no,Firefly Standard,2026-08-16,adjudicated,3,archived,https://www.adobe.com/products/firefly/plans.html,archived,8,4,9.99,per_month_billed_monthly,9.99,no,not_applicable,no_toggle,yes,none_quantified,unknown,unknown,perpetual,yes,unknown,7,unknown,yes,yes,partial,docs_help_center,per_image,partial,"Firefly Standard entry tier, $9.99/mo, 2,000 generative credits/month, both already monthly (no period conversion needed). Vendor's own Standard/Premium-features comparison table (generative-credits-faq.html) states standard (principal) image generation 'Does not deduct credits' on Firefly Standard -- no rate applies, so no figure is computable for the plan's principal output. A rate IS published for the secondary/premium path: Firefly Image 5 model, 10 credits/generation (premium-features rate table). 9.99/2000=0.004995 USD/credit; x10=0.04995, approximately $0.05 per Firefly Image 5 (premium-model) generation. Does not represent standard/unlimited generation, which the entry tier is actually sold on and for which no credit rate exists.",expires_at_period_end,unknown,on,purchase_terms_doc,no_notice_stated,yes,14,unconditional,self_serve_documented,multiple,free,unknown,user_owns,some_quantified,present
aiclicks,primary,AIclicks,AI bot checker,active,no,Starter,2026-08-06,primary,1,archived,https://aiclicks.io/pricing,archived,10,5,59.0,per_month_billed_monthly,59.0,no,not_applicable,monthly_preselected,no,not_applicable,not_applicable,not_applicable,not_applicable,yes,no,3,yes,no,not_applicable,not_applicable,not_applicable,other,yes,"Starter (entry tier), $59/mo billed monthly per default display state; 30 tracked prompts/mo included per pricing-page comparison table. Same period already (monthly), no conversion needed. 59/30=1.9667, rounds to 1.97 per tracked prompt/month.",not_applicable,unknown,on,terms_only,unknown,no_refunds_stated,0,not_applicable,self_serve_documented,terms,unknown,not_applicable,unknown,all_caps_quantified,absent
aiva,adjudicated,AIVA,AI music generator,active,no,Standard Annually,2026-08-15,adjudicated,3,archived,https://www.aiva.ai/,archived,7,6,non_usd,per_month_billed_annually,non_usd,no,adjacent,annual_preselected,yes,all_quantified,3 downloads per month | 3 minutes maximum track duration,unknown,perpetual,no,not_applicable,not_applicable,not_applicable,no,not_applicable,not_applicable,not_applicable,other,yes,"Standard Annually (entry tier), default display state ""€11 / month + VAT, Billed Annually"". First charge: billing is once per 12 months per the ""Billed Annually"" label; no document states the annual total outright, so 11 x 12 = EUR 132.00 (VAT excluded, a tax, per rule 5). Cost per output: price and allowance are both already monthly (EUR 11/month; 15 downloads/month per the pricing page), so no period conversion is needed; 11 / 15 = EUR 0.73 per download (per composition/track, cost_per_output_unit = other).",not_applicable,unknown,on,terms_only,unknown,yes,unknown,conditional,self_serve_documented,multiple,lowest_paid,unknown,conditional,all_caps_quantified,absent
anomaly-ai,adjudicated,Anomaly AI,AI data analysis,active,no,Pro,2026-08-16,adjudicated,3,archived,https://www.findanomaly.ai/pricing,archived,10,12,25.0,per_month_billed_monthly,25.0,no,not_applicable,monthly_preselected,yes,none_quantified,unknown,unknown,perpetual,no,not_applicable,not_applicable,not_applicable,yes,yes,partial,pricing_page,other,partial,"Entry tier Pro, Monthly billing per default display state, $25/month, 1,000 credits/month included (findanomaly.ai/pricing). Secondary-unit rate is exact: 0.5 credits per query/chart-or-KPI-build/dashboard-card-regen step (""How credits work""). 1,000/0.5=2,000 actions/month; 25/2,000=$0.0125/action -- computable, but a component step, not the principal output. Principal output (dashboard/insight) has NO published exact rate: only the hedged aggregate ""~600 insights with charts or ~200 dashboards per month"" for the same 1,000 credits -- an approximation the vendor states, not a rate a reader can invert without assuming a steps-per-dashboard count the documents never publish. Per codebook domain 6 rule 5's own worked example (""Vendor N... secondary output only""), this is partial for the secondary-output reason, and cost_per_output_value_usd (derived) = not_computable, not a figure read off the approximate aggregate.",unknown,unknown,unknown,absent,unknown,unknown,unknown,unknown,self_serve_documented,absent,unknown,unknown,unknown,all_caps_quantified,absent
apify-robots-checker,primary,Apify Robots.txt AI Checker,AI bot checker,active,no,"Pay Per Event -- Robots.txt ai policy row ($11.00 per 1,000 delivered results)",2026-08-06,primary,1,archived,https://apify.com/taroyamada/robotstxt-ai-checker,archived,8,0,11.00,usage_based,unknown,no,not_applicable,no_toggle,yes,all_quantified,5 usd platform credit per month,not_applicable,perpetual,no,not_applicable,not_applicable,not_applicable,no,not_applicable,not_applicable,not_applicable,other,yes,"Entry tier: Pay Per Event (only option), usage_based, no monthly/annual toggle, no periodic allowance to convert. Pricing tab: $11.00/1,000 delivered rows = $0.011/row (vendor's own stated per-unit figure; arithmetic self-consistent, no conversion needed).",not_applicable,charged,on,multiple,no_notice_stated,no_refunds_stated,0,not_applicable,self_serve_documented,terms,unknown,not_applicable,user_owns,all_caps_quantified,absent
aragon-ai,adjudicated,Aragon AI,AI headshot,active,no,Basic,2026-08-16,adjudicated,3,archived,https://www.aragon.ai/pricing,archived,6,17,18.0,one_time,18.0,no,not_applicable,not_applicable,yes,some_quantified,16 credits per active day,unknown,perpetual,no,not_applicable,not_applicable,not_applicable,yes,yes,partial,pricing_page,per_headshot,yes,"Entry tier Basic (Headshots tab, Individual Pricing sub-tab; pricing page default display state per sampling-rules 7.2), billing basis one_time, $18.00 for 40 headshots included; already on one period, no conversion needed. 18.00 / 40 = 0.45 per headshot.",expires_at_period_end,unknown,on,multiple,no_notice_stated,conflicting,conflicting,conflicting,conflicting,conflicting,free,unknown,user_owns,all_caps_quantified,present
autoshorts-ai,adjudicated,AutoShorts.ai,Faceless video,active,no,Starter,2026-08-16,adjudicated,3,archived,https://autoshorts.ai/#pricing,archived,4,7,19.0,per_month_billed_monthly,19.0,no,not_applicable,monthly_preselected,yes,all_quantified,1 video | 1 series | 0 motion credits,yes,perpetual,no,not_applicable,not_applicable,not_applicable,yes,yes,partial,pricing_page,other,yes,"Starter $19.00/mo, default Monthly display state, entry paid tier. FAQ ties video output directly to posting frequency (""the number of videos created by each series can be seen on our pricing page""); Starter's published rate is 3 posts/week (JSON frequency:3). Videos/mo = 3 x (30/7 days-per-week, per the codebook's own day-conversion convention) = 12.857. $19.00 / 12.857 = $1.48 per video. Not used as the basis: Motion Credits (27/mo; tooltip: a fully-animated video ""typically"" costs 15-20 credits ""if motion is applied to all scenes"") -- credits meter motion applied to an image, not a video, are optional (Free tier: 1 video, 0 credits), and computing from them requires assuming full-motion use on every scene of every video, which rule 7 excludes. That alternate path, if taken anyway, gives a range of $19.00/1.35=$14.07 to $19.00/1.80=$10.56 per fully-animated video (27/20=1.35 to 27/15=1.8 videos/mo) -- recorded here for transparency, not the coded basis.",expires_at_period_end,unknown,unknown,absent,unknown,no_refunds_stated,0,not_applicable,self_serve_documented,help_center,free,lowest_paid,user_owns,some_quantified,absent
beautiful-ai,adjudicated,Beautiful.ai,AI presentation,active,no,Pro,2026-08-16,adjudicated,3,archived,https://www.beautiful.ai/pricing,archived,3,30,12.0,per_month_billed_annually,144.0,no,adjacent,annual_preselected,yes,all_quantified,100 slides,yes,perpetual,yes,yes,14,yes,no,not_applicable,not_applicable,not_applicable,per_seat_month,yes,"Entry tier Pro, $12.00/mo billed annually per the pricing page's default display state (annual, the only state Pro's card shows -- no monthly toggle exists on the Pro card itself). Unit = per_seat_month (unmetered software, domain 6 rule 2), so the included allowance IS the seat-month itself; no separate credit/output allowance to convert. Cost per seat-month = the published price directly = 12.00. First charge: ToS 2.1/6.1 state the Subscription Term renews for successive periods equal to the initial term, and annual billing is charged once for the full term (ToS 4.1/4.2); 12 x 12 = 144.00. The vendor runs a live A/B test on this element (data-pricing-exp-false=""$12"" / data-pricing-exp-true=""$14.50""); see headline_price_usd evidence for why the archive evidence supports $12.00 as the published figure rather than the $14.50 branch pass 2's browser session was independently, genuinely served.",not_applicable,not_applicable,on,terms_only,unknown,no_refunds_stated,0,not_applicable,contact_required,terms,unknown,lowest_paid,conditional,all_caps_quantified,absent
