product_id,category
10web,AI website builder
adobe-express,AI design
adobe-firefly,AI image generator
aiclicks,AI bot checker
aiva,AI music generator
anomaly-ai,AI data analysis
aragon-ai,AI headshot
autoshorts-ai,Faceless video
beautiful-ai,AI presentation
colossyan,AI avatar
copyleaks,AI detector
elevenlabs,AI voice
google-veo,AI video generator
humanizemy,AI humanizer
ismybrandinai,AI bot checker
jobscan,AI resume builder
krea-ai,AI image generator
nicepage,AI website builder
pika,AI video generator
recraft,AI image generator
sapling,AI detector
shortsfaceless,Faceless video
teal,AI resume builder
udio,AI music generator
undetectable-ai,AI humanizer
vidnoz,AI avatar
