product_id,variable,value,unknown_kind,attribution_decided_by,source,evidence,row_provenance
10web,headline_price_usd,10.00,,,https://10web.io/pricing-platform/,"AGREED by both passes. AI Starter card, default display state (Business/Annually): '$10 /mo'. Re-confirmed by pass 1's own D-009 second-representation re-read and by pass 2's raw-outerHTML second representation.",adjudicated
10web,headline_billing_basis,per_month_billed_annually,,,https://10web.io/pricing-platform/,"AGREED by both passes. Default toggle is 'Annually'/'12 months' (50% off badge); $10/mo is the monthly-equivalent figure under a 12-month prepaid commitment, per the same card's own 'Get 12 months for $120 (regular price $240).'",adjudicated
10web,first_charge_amount_usd,120.00,,,https://10web.io/pricing-platform/,"AGREED by both passes. Read directly from the AI Starter card: 'Get 12 months for $120 (regular price $240).' Vendor-stated, not a coder multiplication.",adjudicated
10web,mandatory_addon_present,no,,,https://10web.io/pricing-platform/,"AGREED by both passes. No required additional charge for the AI Starter plan as advertised; additional websites, CDN, and usage overages are optional/usage-conditional upsells (pass 2 corroborates from the 'Why Have I Been Charged' article: extra site slots and CDN are billed as add-ons, not required to use the plan).",adjudicated
10web,annual_condition_disclosure,adjacent,,,https://10web.io/pricing-platform/,"AGREED by both passes. The annual-prepayment condition is disclosed in the same visual price card as the $10/mo headline: the billing-toggle's own '12 months'/'Annually' + '50% off' label, and the card's own 'Get 12 months for $120 (regular price $240).' line.",adjudicated
10web,annual_default_toggle,annual_preselected,,,https://10web.io/pricing-platform/,"AGREED by both passes. DOM class 'tab 12 active'/'period-item 12 selected' on the Annually control; 'Monthly' carries no active class. Pass 1 confirmed this is server-rendered (no-JS curl fetch), not a client-side/geo/cookie variant; no register_event logged by either pass.",adjudicated
10web,free_plan_exists,yes,,,https://help.10web.io/hc/en-us/articles/360021420139-Get-Started-for-Free-on-10Web,"AGREED by both passes. 'Free platform users are limited to generating one website, and full editing requires enabling the 7-day free trial.' Corroborated by the pricing page's own H1 'Start free. Scale with every site.' and every plan card's 'Get started for free' CTA. Pass 2 flagged a tension against ToS 'To be able to use the Platform... you have to have an active subscription' and correctly resolved it: free-tier variables are pricing-class, where docs/pricing rank above the ToS (protocol 6.2), and multiple pricing/help-center sources specifically describe free access. Carried into conflict_note below since a contract sentence that reads as contradicting the free plan's own existence is a gap worth preserving even though the hierarchy settles it cleanly.",adjudicated
10web,free_plan_cap_documented,all_quantified,,,https://help.10web.io/hc/en-us/articles/360021420139-Get-Started-for-Free-on-10Web,"DISPUTED, resolved by rule. Codebook 5.1's quantified-limit test and its own enumerated dimensions (outputs, minutes, exports, seats, storage, resolution, queue priority) are all volume/capacity dimensions with a number that could attach to them, contrasted against vague adjectives (limited, basic, reduced...) that soften an otherwise-numeric dimension. The free plan's only two documented limits of THAT kind are '1 website' (standing limit, agreed by both passes and by the Agentic Website Builder doc) and a page-recreation cap stated as quantified in BOTH of two conflicting official docs (10 pages per one article, 5 per another -- see free_plan_cap_value; both numbers are quantified regardless of which governs, so this variable is unaffected by which figure wins). Pass 2's two additional citations -- 'full editing requires enabling the 7-day free trial' and 'SSH and SFTP credentials are not available on free plans' -- are feature-availability gates, not limits with a quantifiable dimension: there is no number 'SSH access' or 'full editing' could carry, unlike a softened volume word such as 'limited resolution'. They describe the boundary between the free plan and the separate, already-domain-4-coded Pro trial (auto_renewal/trial_* variables), not an unquantified CAP on the free plan's own allowance. Notably, pass 1's own record quotes both of these same two facts almost verbatim in its free_plan_exists and free_plan_duration evidence fields, so this is a considered exclusion, not a coverage miss. Since both dimensions that ARE volume-type limits are quantified numbers, all_quantified holds. Prior values: pass 1 = all_quantified; pass 2 = some_quantified (counted the two feature gates as unquantified limits).",adjudicated
10web,free_plan_cap_value,conflicting,,,https://help.10web.io/hc/en-us/articles/360018862340-Free-Plan-How-to-Convert-Recreate-a-Website-With-AI | https://help.10web.io/hc/en-us/articles/7952757255186-AI-Website-Builder-Fully-Automated-WordPress-Website-Creation-in-a-Few-Minutes,"DISPUTED, resolved by rule -- and reached a value neither pass coded. This variable's own decision rule is explicit and was not discretionary: 'Where two official sources of equal authority publish incompatible caps, code conflicting and record both figures with both URLs in conflict_note.' Two DIFFERENT official help-center articles (same rank: docs/help-center class, protocol 6.2), both live and neither marked outdated by Zendesk's own metadata, state incompatible page-recreation caps for free users: 'up to 10 pages for free users' (360018862340, updated 2025-01-23) versus 'The free plan is limited to 5 pages only' (7952757255186, updated 2024-11-01). Both re-verified unchanged live by this adjudicator on 2026-08-16 (the 5-page article via the Zendesk API; the 10-page article's live re-check returned a transient 401 twice, so it rests on pass 1's saved capture, read directly from the JSON by this adjudicator). The '1 website' figure is NOT in dispute -- both docs and both passes agree on it -- only the page-count sub-figure conflicts; the instrument's format has no clean way to mark one sub-figure of a compound cap conflicting while stating the rest (pass 1 flagged this exact instrument gap in its own coder_note), so per the rule's literal instruction the field is coded conflicting and both page-count figures plus the undisputed website figure are preserved in conflict_note with all URLs and quotes. Prior values: pass 1 = ""1 website | 10 pages"" (identified the conflict but picked the newer article's figure rather than coding the field conflicting -- an inference the rule does not authorize, since nothing in this instrument treats a more-recent update date as a tiebreaker between two live, contemporaneously-published, equal-rank documents); pass 2 = ""1 website"" (did not locate either page-count article -- a coverage gap, not a considered exclusion).",adjudicated
10web,free_plan_watermark,unknown,vendor_silence,pattern,https://10web.io/legal/terms-of-service/,"AGREED by both passes. 'watermark' does not appear anywhere in the ToS, PUP, pricing page, or the free-plan help articles in the sense of vendor branding on outputs. Principal output (a website) plainly could carry a footer badge, so not_applicable does not fit; documented silence codes unknown.",adjudicated
