pass,product,variable,kind,basis
pass1,canva,free_plan_watermark,access_failure,HAND. The vendor has a dedicated Help Centre article titled 'Watermarks or Canva logos are on my design' — the document that would answer this variable exists and is named in the record. It was not retrieved: the prior pass's archival attempts failed and this pass did not re-attempt it. Calling this vendor silence would assert the vendor never addressed watermarking while citing the vendor's own article about watermarking. The silence is ours.
pass1,canva,watermark_removal_tier,access_failure,"HAND. Same unretrieved Help Centre article as free_plan_watermark, same reasoning. Four documents were searched and one relevant document could not be opened; a search that misses the one document written on the subject does not establish the subject is undocumented."
pass1,faceless-so,free_plan_watermark,vendor_silence,"HAND. The free tier is not shown on the pricing page at all, so there is no feature row to read either way, and no other document addresses free-tier watermarking. Nothing was unreachable — the vendor simply does not publish it."
pass1,ideogram,free_plan_watermark,vendor_silence,"HAND. ToS 6.2(H) prohibits users removing watermarks, which establishes watermarks can occur but never says which tiers carry them. The vendor addresses the topic and is silent on the construct this variable measures. Documented silence, not an access failure — every document was read."
pass1,ideogram,watermark_removal_tier,vendor_silence,"HAND. Same clause, same limit: it establishes watermarks exist without naming a removal tier. No pricing row or docs page states one."
pass1,leonardo-ai,watermark_removal_tier,vendor_silence,"HAND. No watermark policy of any kind is documented, so a removal tier cannot be determined for a policy that was never stated. Correctly not coded not_applicable: image output could carry a watermark."
pass1,plus-ai,watermark_removal_tier,vendor_silence,HAND. Terms read in full and the feature grid read across all four paid tiers; no row or clause addresses watermarking or branding of generated presentations at any tier.
pass1,quillbot,free_plan_watermark,vendor_silence,"HAND. Absent from the pricing page, both Terms documents and all three help-centre articles read. Correctly not not_applicable: the bundle includes an image generator, an output type that could carry a watermark."
pass1,quillbot,watermark_removal_tier,vendor_silence,"HAND. Same absence across the same documents, same reason for not coding not_applicable."
pass1,rezi,watermark_removal_tier,vendor_silence,"HAND. Terms of Use read in full plus four other official documents (pricing compare table, both Subscription Plans guides, Cancellation Policy); watermarking never mentioned."
pass1,runway,free_plan_watermark,vendor_silence,"HAND. The free plan's feature list says nothing either way; 'No watermarks' appears only under a paid tier's list, which documents that tier and not the free column. The vendor published a feature grid and left this cell unstated."
pass1,stable-audio,free_plan_watermark,vendor_silence,"HAND. The word is absent from the pricing page, ToS, Acceptable Use Policy, dedicated FAQs page and User Guide — five documents, all checked and all reachable."
pass1,stable-audio,watermark_removal_tier,vendor_silence,"HAND. Same five documents, same absence."
adjudicated,humanizemy,free_plan_watermark,vendor_silence,"HAND. The adjudicator states the classification in its own reasoning: codebook §2.2 requires positive documentary evidence for not_applicable, and a vendor's silence is unknown. It resolved the disagreement on exactly that ground."
adjudicated,jobscan,free_plan_watermark,vendor_silence,"HAND. The record says so explicitly and both passes agree: 'Genuine vendor silence, not an access limitation' — both documents this variable could rest on were read."
adjudicated,recraft,free_plan_watermark,vendor_silence,"HAND. No watermark or branding statement for free-tier outputs in the pricing page, free-plan docs or terms, in either pass's reading. Both passes agree."
pass1,brandcited,failed_generation_charge_policy,vendor_silence,"HAND. Four documents read including a 56-question dedicated FAQ, with the two answers nearest the construct ('What is a scan?', 'How does BrandCited track AI visibility?') checked by name. The metered unit is documented; what happens when it fails is not. Nothing unreachable."
pass1,faceless-so,failed_generation_charge_policy,vendor_silence,"HAND. The strongest evidence in this batch. Multiple developer docs read; the coder separates WHEN charging happens ('Credits are charged once, at video creation') from what happens on later failure, notes the API reports failures via a status endpoint, and spots that the ledger tracks 'refunds' — then explicitly declines to treat that as determinate because it could equally describe support-issued credits. Silence established by reading, not by searching."
pass1,gptzero,failed_generation_charge_policy,vendor_silence,"HAND. ToS in full, a rendered capture, and 7 official support articles including newly-found overage and rate-limit articles. The coder distinguishes technical failure from exceeding the allowance, which the vendor DOES document. The vendor is legible about volume and silent about failure."
pass1,framer,failed_generation_charge_policy,vendor_silence,HAND. The document covers complexity-based consumption and what happens when a limit is reached ('Any prompt that's already running when you reach the limit finishes normally') but never addresses a failed or errored generation. The vendor addressed the neighbouring question and not this one.
pass1,lovo-ai,failed_generation_charge_policy,access_failure,"HAND. Full ToS and pricing page read from archive, both silent — but the Help Centre's Payment-and-Billing section, the place this would be documented, was Cloudflare-blocked live and no archive capture was pursued under the effort cap. The section that would answer it was never read."
pass1,runway,failed_generation_charge_policy,access_failure,"HAND. The coder states a help-centre article 'appears to address this directly' but returned 403/520 and could not be fetched or archived within budget, with the blocked leads recorded in the sources directory. A document the coder believes answers the variable, unread. That is our silence, not the vendor's."
pass1,shortsfaceless,failed_generation_charge_policy,unattributable_weak_basis,"HAND. The evidence is a two-keyword search ('fail'/'error') of a single document. Vendors write this construct as 'unsuccessful generation', 'did not complete', 'errored job'; a two-word search of one document cannot establish silence, and this study has already reversed a value that rested on a keyword search missing the clause's actual wording. Not coded vendor_silence because that would assert more than the record supports, and not left pending because the record cannot be improved after the window closed."
pass1,aiva,failed_generation_charge_policy,vendor_silence,"HAND. Pricing page and EULA section 6 'Technology & Limitations' both read substantively — the EULA states generation-rate ceilings (100/hour, 400/24h, 5 concurrent) while saying nothing about a failed attempt's effect on the allowance. The vendor wrote a limitations section and left this out of it."
adjudicated,anomaly-ai,failed_generation_charge_policy,vendor_silence,"HAND. Both passes agreed and the adjudicator re-checked: no 'fail', 'unsuccessful' or 'deduct' language on the pricing page or in the Terms. The product clearly meters generation, so not_applicable does not fit and silence is the finding."
adjudicated,aragon-ai,failed_generation_charge_policy,vendor_silence,"HAND. Full-text search of all documents including both pricing tabs, re-read at adjudication. Failure language appears only as output-quality disclaimers and a dissatisfaction-driven 'Free Redo' offer — neither is a statement about technical failure consuming allowance."
pass1,aiclicks,renewal_notice_commitment,vendor_silence,"HAND. Terms of Service, pricing-page FAQ, and Help Center billing FAQ/troubleshooting pages were all read in full and were reachable (archived); none states a commitment to notify the buyer before a renewal charge. Genuine documented silence, not an access gap."
pass1,anomaly-ai,free_plan_watermark,vendor_silence,"HAND. Ten official pages (pricing, terms, privacy, security, ai-for-large-datasets, home, capabilities, contact, manifesto, solutions) were read and all successfully archived; the word watermark appears on none of them, despite the product's dashboard/PDF/Slides outputs being capable of carrying branding. Documented silence from a genuinely thin but fully-read site, not an access gap."
pass1,anomaly-ai,failed_generation_charge_policy,vendor_silence,"HAND. The pricing page and Terms of Service were both read and archived; neither addresses whether a failed or errored generation still consumes credits, though the product clearly meters generation. Genuine silence, not an access gap."
pass1,anomaly-ai,refund_window_days,vendor_silence,"HAND. Cascades from refund_policy_exists=unknown, itself grounded in a full read of the Terms of Service and pricing page (both archived) plus confirmation that no dedicated refund page exists (404). No day-count window is stated anywhere because no refund policy of any kind is published."
pass1,anomaly-ai,refund_conditions,vendor_silence,"HAND. Same basis as refund_window_days: Terms of Service and pricing page fully read and archived, no dedicated refund page exists, and no refund policy of any kind -- hence no conditions -- is published anywhere."
pass1,anomaly-ai,commercial_use_lowest_tier,vendor_silence,"HAND. The pricing page and Terms of Service (both read and archived) contain no feature-grid row or clause addressing commercial-use rights in outputs; the vendor's 'business reports' tagline describes intended use, not a rights grant. Genuine silence, not an access gap."
pass1,anomaly-ai,watermark_removal_tier,vendor_silence,"HAND. Same ten-page, fully-archived read as free_plan_watermark; watermark appears nowhere despite the product's dashboard/PDF/Slides/Excel outputs being capable of carrying branding."
pass1,anomaly-ai,output_ownership_statement,vendor_silence,"HAND. Terms of Service and the Security page (both read and archived) each state an ownership position for the customer's uploaded/connected INPUT data specifically, but neither extends that statement to the AI-generated dashboards/reports the product produces. A genuine construct gap between two documents that agree with each other, not an access gap."
pass1,canva,headline_billing_basis,instrument_gap,"HAND. The Pro tier's price is published unambiguously as an annual total per seat (""Bir kisi icin yillik fiyat""), not paraphrased or hedged -- the vendor discloses the basis plainly. But the codebook's five allowed values for this variable (per_month_billed_annually, per_month_billed_monthly, per_seat_per_month, one_time, usage_based) have no category for an annual total displayed as such; only monthly-denominated bases are covered. The instrument has no slot for what was published."
pass1,canva,trial_length_days,vendor_silence,"HAND. Pricing page, Terms of Use, Content License Agreement, and the AI Pass help article were all read and reachable; a trial is confirmed to exist and auto-convert, but no document states its length in days (the two day-figures present, a 30-day top-up expiry and a list of prepaid-plan durations, are different constructs). Unlike this same record's watermark variables, no specific unretrieved document is implicated here."
pass1,colossyan,renewal_notice_commitment,vendor_silence,"HAND. Terms of Service (3.4/14.3) and two Help Center billing articles (Pricing & Packaging FAQ, Managing your account) were all read in full -- the Help Center articles have only local copies since archive.org's own save attempts returned HTTP 520, but the coder read and quoted them directly. All three describe automatic renewal but none commits to advance notice of a charge."
